ClipID,Boredom,Engagement,Confusion,Frustration 
1100011002.avi,0,2,0,0
1100011003.avi,0,2,0,0
1100011004.avi,0,3,0,0
1100011005.avi,0,3,0,0
1100011006.avi,0,3,0,0
1100011007.avi,1,2,0,0
1100011008.avi,0,3,0,0
1100011009.avi,0,2,1,0
1100011010.avi,0,3,0,0
1100011011.avi,0,3,0,0
1100011012.avi,0,2,2,0
1100011013.avi,0,3,0,0
1100011014.avi,0,3,0,0
1100011015.avi,0,3,0,0
1100011016.avi,0,3,0,0
1100011017.avi,0,3,0,0
1100011018.avi,0,3,0,0
1100011019.avi,0,3,0,0
1100011020.avi,0,3,0,0
1100011021.avi,0,3,0,0
1100011022.avi,0,3,0,0
1100011023.avi,0,3,0,0
1100011025.avi,0,3,0,0
1100011026.avi,0,3,0,0
1100011027.avi,0,3,0,0
1100011028.avi,0,3,0,0
1100011029.avi,0,3,0,0
1100011031.avi,0,3,0,0
1100011032.avi,0,3,0,0
1100011034.avi,0,3,0,0
1100011035.avi,0,3,0,0
1100011037.avi,0,3,0,0
1100011038.avi,0,3,0,0
1100011040.avi,1,2,0,0
1100011046.avi,0,3,0,0
1100011047.avi,0,3,0,0
1100011048.avi,1,2,1,1
1100011049.avi,0,3,0,0
1100011050.avi,0,3,0,0
1100011051.avi,0,3,1,0
1100011052.avi,1,3,0,1
1100011053.avi,0,3,0,0
1100011054.avi,0,3,0,0
1100011055.avi,0,3,0,0
1100011056.avi,0,3,0,0
1100011057.avi,1,3,0,0
1100011058.avi,0,3,0,0
1100011059.avi,0,3,1,0
1100011060.avi,1,3,1,1
1100011062.avi,0,3,0,0
1100011063.avi,0,3,0,0
1100011064.avi,0,3,0,0
1100011066.avi,1,3,0,0
1100011067.avi,0,3,0,0
1100011068.avi,0,3,0,0
1100011069.avi,0,3,0,0
1100011070.avi,0,3,0,0
1100011071.avi,0,3,0,0
1100011072.avi,0,3,0,0
1100011073.avi,0,3,0,0
1100011075.avi,0,3,0,0
1100011076.avi,0,3,0,0
1100011078.avi,0,2,0,0
1100011079.avi,0,3,0,0
1100011080.avi,0,3,0,0
1100011081.avi,0,3,0,0
1100011082.avi,0,3,0,0
1100011083.avi,0,3,0,0
1100012001.avi,0,3,0,0
1100012003.avi,0,3,0,0
1100012007.avi,0,3,0,1
1100012008.avi,0,3,0,0
1100012009.avi,0,3,0,0
1100012010.avi,0,3,3,0
1100012011.avi,0,3,0,1
1100012013.avi,0,3,0,0
1100012014.avi,0,3,0,0
1100012015.avi,0,3,0,0
1100012016.avi,0,3,0,0
1100012017.avi,0,3,1,0
1100012018.avi,0,3,0,0
1100012021.avi,1,2,0,0
1100012022.avi,0,3,0,0
1100012023.avi,0,3,0,0
1100012025.avi,0,3,0,0
1100012026.avi,1,3,0,0
1100012027.avi,0,3,0,0
1100012028.avi,0,3,0,0
1100012030.avi,0,3,0,0
1100012031.avi,0,3,0,0
1100012032.avi,0,3,0,0
1100012033.avi,0,3,0,0
1100012036.avi,0,3,0,0
1100012037.avi,0,3,0,0
1100012038.avi,0,3,0,0
1100012041.avi,0,3,0,0
1100012042.avi,0,2,0,0
1100012045.avi,0,2,0,0
1100012046.avi,0,3,0,0
1100012047.avi,0,2,0,0
1100012049.avi,0,3,0,0
1100012050.avi,0,3,0,0
1100012051.avi,0,3,1,0
1100012052.avi,0,3,0,0
1100012057.avi,1,3,1,1
1100012059.avi,0,3,0,0
1100012060.avi,0,3,0,0
1100012061.avi,0,3,0,0
1100012062.avi,0,3,0,0
1100012063.avi,0,3,0,0
1100012064.avi,0,3,0,0
1100012065.avi,0,3,1,1
1100012066.avi,0,3,0,0
1100012069.avi,0,3,0,0
1100021001.avi,0,2,0,0
1100021003.avi,0,1,0,0
1100021015.avi,2,2,0,1
1100021038.avi,0,2,0,0
1100021039.avi,1,2,2,2
1100021040.avi,0,3,0,0
1100021045.avi,1,3,0,1
1100021050.avi,0,3,0,2
1100021055.avi,3,1,0,0
1100022001.avi,2,3,1,1
1100022002.avi,2,2,0,0
1100022003.avi,2,3,1,1
1100022004.avi,2,3,0,1
1100022005.avi,2,1,0,0
1100022008.avi,2,2,1,1
1100022009.avi,2,3,0,0
1100022014.avi,0,3,1,0
1100022019.avi,1,3,1,1
1100022020.avi,0,2,0,0
1100022021.avi,1,2,1,0
1100022022.avi,3,2,0,1
1100022026.avi,0,3,0,0
1100022027.avi,1,3,1,1
1100022028.avi,0,3,0,0
1100022029.avi,0,3,0,0
1100022031.avi,0,3,1,1
1100022035.avi,0,2,1,0
1100022038.avi,1,3,1,1
1100022039.avi,1,3,0,1
1100022045.avi,0,3,0,0
1100022046.avi,0,3,0,0
1100022047.avi,1,3,3,0
1100022048.avi,0,2,2,0
1100022049.avi,0,2,3,0
1100022051.avi,0,3,3,1
1100022052.avi,0,2,2,0
1100022053.avi,0,2,2,1
1100022054.avi,1,2,0,0
1100022055.avi,1,2,0,0
1100022056.avi,0,3,0,0
1100022057.avi,0,2,0,0
1100041006.avi,0,3,0,0
1100041015.avi,2,3,0,0
1100041016.avi,0,3,0,0
1100041017.avi,2,2,0,2
1100041018.avi,2,2,0,0
1100041021.avi,0,2,0,0
1100041022.avi,2,2,0,0
1100041023.avi,2,2,2,1
1100041024.avi,2,2,0,0
1100041029.avi,0,3,0,0
1100041034.avi,0,2,0,0
1100041044.avi,0,2,0,0
1100041051.avi,0,3,0,0
1100041052.avi,0,2,0,0
1100042009.avi,2,2,1,1
1100042010.avi,2,2,0,0
1100042011.avi,2,2,1,1
1100042017.avi,2,2,0,0
1100042018.avi,0,2,0,0
1100042019.avi,0,3,0,0
1100042020.avi,0,3,0,0
1100042023.avi,3,1,1,0
1100042024.avi,2,2,1,0
1100042025.avi,1,2,0,0
1100042026.avi,2,1,1,0
1100042029.avi,0,3,1,0
1100042030.avi,0,2,1,0
1100042031.avi,2,3,2,0
1100042034.avi,1,2,0,0
1100042040.avi,1,2,0,0
1100042041.avi,0,3,0,0
1100042058.avi,1,2,2,0
1100042059.avi,2,2,0,1
1100042060.avi,2,2,0,0
1100051002.avi,1,2,0,0
1100051004.avi,2,2,3,1
1100051006.avi,2,2,1,1
1100051007.avi,2,1,2,1
1100051008.avi,2,2,2,0
1100051009.avi,2,2,0,0
1100051011.avi,1,2,0,0
1100051012.avi,1,2,0,0
1100051013.avi,2,2,0,0
1100051014.avi,1,2,0,0
1100051016.avi,2,1,2,0
1100051017.avi,2,2,1,2
1100051019.avi,2,3,1,0
1100051020.avi,1,2,1,0
1100051021.avi,2,2,2,0
1100051022.avi,2,2,0,0
1100051023.avi,1,2,0,0
1100051024.avi,2,2,1,1
1100051025.avi,2,2,2,0
1100051026.avi,2,2,1,0
1100051028.avi,2,2,0,0
1100051029.avi,2,2,0,0
1100051030.avi,2,1,0,0
1100051031.avi,2,1,0,0
1100051032.avi,1,3,1,0
1100051033.avi,2,2,0,0
1100051034.avi,2,2,2,0
1100051035.avi,2,2,1,0
1100051036.avi,2,2,2,1
1100051037.avi,2,2,0,2
1100051039.avi,2,2,2,3
1100051041.avi,1,3,0,0
1100051042.avi,2,2,2,0
1100051044.avi,0,2,0,0
1100051045.avi,1,3,1,0
1100051046.avi,0,2,0,0
1100051048.avi,2,2,0,0
1100051049.avi,2,2,0,0
1100051050.avi,0,3,0,0
1100051051.avi,1,2,0,0
1100051052.avi,1,2,1,1
1100051053.avi,2,1,0,0
1100051054.avi,2,2,0,0
1100051055.avi,0,2,0,1
1100051056.avi,1,2,1,1
1100051057.avi,2,3,2,0
1100051059.avi,0,3,1,0
1100051061.avi,2,2,0,0
1100051062.avi,2,3,2,0
1100051064.avi,2,3,0,0
1100051065.avi,2,2,0,0
1100051066.avi,3,3,2,0
1100051067.avi,2,3,2,1
1100051068.avi,1,3,1,0
1100051071.avi,0,3,0,0
1100051076.avi,2,2,0,0
1100051078.avi,0,2,0,1
1100051079.avi,0,3,0,0
1100052001.avi,2,2,0,1
1100052002.avi,1,2,1,0
1100052006.avi,2,2,0,0
1100052007.avi,1,2,1,0
1100052008.avi,0,3,0,0
1100052009.avi,0,2,0,0
1100052014.avi,3,1,0,0
1100052023.avi,1,2,1,1
1100052024.avi,1,2,0,0
1100052026.avi,1,2,0,0
1100052027.avi,2,2,0,0
1100052028.avi,2,3,0,0
1100052030.avi,2,2,1,0
1100052031.avi,1,2,0,0
1100052032.avi,1,2,0,1
1100052033.avi,1,2,0,0
1100052035.avi,0,2,0,0
1100052036.avi,1,2,0,1
1100052037.avi,2,2,0,0
1100052038.avi,2,2,0,0
1100052039.avi,1,2,0,0
1100052040.avi,2,3,1,0
1100052041.avi,2,2,0,0
1100052047.avi,1,2,0,0
1100052048.avi,2,2,0,0
1100052049.avi,0,2,0,0
1100052051.avi,2,2,2,3
1100052055.avi,1,2,0,0
1100052057.avi,3,2,0,0
1100052060.avi,0,3,0,0
1100052061.avi,1,2,1,1
1100052062.avi,3,2,0,1
1100052065.avi,2,3,0,0
1100052068.avi,3,2,2,0
1100052070.avi,1,2,0,1
1100061009.avi,0,3,0,0
1100061010.avi,1,3,0,0
1100061011.avi,0,3,0,0
1100061012.avi,0,2,0,0
1100061013.avi,1,3,0,0
1100061015.avi,3,2,0,0
1100061016.avi,0,2,0,0
1100061018.avi,2,2,0,0
1100061019.avi,0,2,0,0
1100061022.avi,0,3,0,0
1100061023.avi,0,2,0,0
1100061025.avi,2,2,0,0
1100061027.avi,0,3,0,0
1100061028.avi,1,2,0,0
1100061030.avi,0,2,0,0
1100061031.avi,0,2,0,0
1100061032.avi,0,2,0,0
1100061033.avi,0,3,0,0
1100061034.avi,0,2,0,0
1100061035.avi,0,2,0,0
1100061036.avi,1,3,0,0
1100061038.avi,0,3,0,0
1100061039.avi,0,2,0,0
1100061040.avi,0,3,0,0
1100061042.avi,0,3,0,0
1100061043.avi,0,3,0,0
1100061044.avi,0,2,0,0
1100061046.avi,0,3,0,0
1100061047.avi,0,3,0,0
1100061048.avi,0,3,0,0
1100061049.avi,0,2,0,0
1100061050.avi,2,2,0,0
1100061051.avi,0,3,0,0
1100061053.avi,2,2,0,1
1100061057.avi,1,2,0,0
1100061058.avi,0,2,0,0
1100061061.avi,0,3,0,0
1100061063.avi,0,3,1,0
1100061064.avi,0,3,0,0
1100061067.avi,0,3,0,0
1100061068.avi,0,3,0,0
1100061069.avi,0,3,0,0
1100061073.avi,0,2,0,0
1100061074.avi,0,2,0,0
1100061077.avi,0,2,0,0
1100061078.avi,0,2,0,0
1100062004.avi,1,3,0,0
1100062005.avi,0,3,2,2
1100062007.avi,0,3,1,0
1100062008.avi,2,1,1,2
1100062009.avi,0,3,0,0
1100062016.avi,1,2,0,0
1100062017.avi,0,3,0,0
